====================================================================================================
HERMANILAND FOOTBALL DRAFT GAME - PLAYER DATABASE
Complete roster of 7500 professional players from all eras
====================================================================================================

SOURCES:
- Football Legends (506 players from all eras)
- Champions League & Copa Libertadores (last 20 years, 319 players)
- World Cup squads (2006-2022, 499 players)
- Variants generated to reach 7500 total

POSITION DISTRIBUTION:
  CAM: 1000 ( 13.3%)
  CB:  667 (  8.9%)
  CDM: 1000 ( 13.3%)
  CM: 1000 ( 13.3%)
  GK:  502 (  6.7%)
  LB:  667 (  8.9%)
  LW:  998 ( 13.3%)
  RB:  668 (  8.9%)
  ST:  998 ( 13.3%)

====================================================================================================
COMPLETE PLAYER ROSTER
====================================================================================================

   1. Andres Iniesta                      | LB  | 2022 | SPD:83 DRB:77 SHO:58 DEF:92 PHY:77 IQ:89 | Napoli
5426. Julio Cesar #8                      | LB  | 2018 | SPD:86 DRB:73 SHO:58 DEF:85 PHY:94 IQ:91 | Arsenal
5427. Filippo Inzaghi #8                  | LB  | 2014 | SPD:75 DRB:76 SHO:57 DEF:97 PHY:97 IQ:91 | Juventus
5428. Mikaël Silvestre #8                 | RB  | 2018 | SPD:82 DRB:80 SHO:47 DEF:85 PHY:89 IQ:98 | Manchester United
5429. Juan Mata #8                        | CDM | 2006 | SPD:94 DRB:87 SHO:88 DEF:60 PHY:79 IQ:83 | Chelsea
5430. Emlyn Hughes #8                     | ST  | 2010 | SPD:83 DRB:91 SHO:90 DEF:59 PHY:75 IQ:97 | Paris SG
5431. Jordi Alba #8                       | ST  | 2006 | SPD:94 DRB:85 SHO:88 DEF:41 PHY:77 IQ:96 | Inter Milan
5432. Brad Friedel #8                     | GK  | 2010 | SPD:79 DRB:32 SHO:28 DEF:88 PHY:78 IQ:81 | Barcelona
5433. Claudio Reyna #8                    | CDM | 2014 | SPD:79 DRB:75 SHO:68 DEF:74 PHY:78 IQ:86 | Inter Milan
5434. Nuno Gomes #8                       | CB  | 2006 | SPD:78 DRB:72 SHO:67 DEF:90 PHY:90 IQ:83 | Real Madrid
5435. Stéphane Henchoz #8                 | CAM | 2014 | SPD:80 DRB:83 SHO:86 DEF:83 PHY:85 IQ:79 | Real Madrid
5436. Wim Kieft #8                        | GK  | 2006 | SPD:82 DRB:33 SHO:24 DEF:96 PHY:85 IQ:85 | Paris SG
5437. Sasa Ilic #8                        | CAM | 2018 | SPD:93 DRB:91 SHO:80 DEF:75 PHY:85 IQ:79 | Real Madrid
5438. Carles Puyol #8                     | CDM | 2006 | SPD:93 DRB:78 SHO:71 DEF:62 PHY:96 IQ:78 | Barcelona
5439. Danilo Carrillo #8                  | CB  | 2018 | SPD:85 DRB:70 SHO:51 DEF:95 PHY:76 IQ:97 | Paris SG
5440. Rodrygo Goes #8                     | CDM | 2014 | SPD:80 DRB:79 SHO:84 DEF:77 PHY:81 IQ:83 | AC Milan
5441. Alisson Becker #8                   | GK  | 2010 | SPD:77 DRB:42 SHO:38 DEF:91 PHY:80 IQ:91 | Juventus
5442. Jader Obrian #8                     | LW  | 2014 | SPD:95 DRB:81 SHO:87 DEF:33 PHY:79 IQ:97 | Chelsea
5443. Marco Asensio #8                    | ST  | 2022 | SPD:83 DRB:91 SHO:85 DEF:58 PHY:95 IQ:83 | Chelsea
5444. Serhiy Rebrov #8                    | CAM | 2014 | SPD:83 DRB:90 SHO:87 DEF:76 PHY:75 IQ:94 | Barcelona
5445. John O'Shea #8                      | ST  | 2018 | SPD:93 DRB:95 SHO:87 DEF:57 PHY:86 IQ:81 | Manchester United
5446. Alexis Sánchez #8                   | ST  | 2014 | SPD:88 DRB:88 SHO:88 DEF:41 PHY:96 IQ:78 | Real Madrid
5447. Angelos Charisteas #8               | ST  | 2022 | SPD:95 DRB:86 SHO:88 DEF:39 PHY:88 IQ:85 | Arsenal
5448. Nani #8                             | GK  | 2022 | SPD:79 DRB:51 SHO:31 DEF:99 PHY:76 IQ:98 | Napoli
5449. Thibaut Courtois #8                 | CAM | 2006 | SPD:82 DRB:77 SHO:80 DEF:67 PHY:75 IQ:78 | Liverpool
5450. Lucas Hernandez #8                  | CDM | 2006 | SPD:93 DRB:87 SHO:67 DEF:63 PHY:90 IQ:78 | Real Madrid
5451. David Villa #8                      | CM  | 2022 | SPD:84 DRB:79 SHO:65 DEF:85 PHY:95 IQ:93 | Chelsea
5452. Jaap Stam #8                        | CAM | 2010 | SPD:83 DRB:76 SHO:80 DEF:75 PHY:84 IQ:85 | Barcelona
5453. Marcus Tutte #8                     | CDM | 2014 | SPD:91 DRB:83 SHO:86 DEF:70 PHY:90 IQ:95 | Barcelona
5454. Adriano #8                          | LB  | 2014 | SPD:90 DRB:79 SHO:70 DEF:90 PHY:83 IQ:83 | Paris SG
5455. Wilfried Bony #8                    | LB  | 2022 | SPD:76 DRB:60 SHO:53 DEF:86 PHY:96 IQ:79 | Bayern Munich
5456. Mark Lawrenson #8                   | CB  | 2022 | SPD:86 DRB:60 SHO:54 DEF:85 PHY:92 IQ:91 | Chelsea
5457. Ulreich Sven #8                     | CAM | 2006 | SPD:84 DRB:78 SHO:66 DEF:80 PHY:80 IQ:96 | Liverpool
5458. Hany Ramadan #8                     | LW  | 2022 | SPD:94 DRB:94 SHO:88 DEF:37 PHY:81 IQ:93 | Bayern Munich
5459. Marta #8                            | CM  | 2014 | SPD:92 DRB:86 SHO:83 DEF:79 PHY:92 IQ:78 | Bayern Munich
5460. Oguchi Onyewu #8                    | LW  | 2018 | SPD:96 DRB:90 SHO:96 DEF:43 PHY:90 IQ:79 | Napoli
5461. Florian Thauvin #8                  | CAM | 2006 | SPD:93 DRB:85 SHO:79 DEF:62 PHY:76 IQ:84 | Bayern Munich
5462. Ousmane Dembélé #8                  | ST  | 2014 | SPD:90 DRB:76 SHO:89 DEF:48 PHY:87 IQ:78 | Napoli
5463. Daniele De Rossi #8                 | CM  | 2018 | SPD:82 DRB:78 SHO:65 DEF:76 PHY:83 IQ:80 | Bayern Munich
5464. Hulk #8                             | CB  | 2014 | SPD:75 DRB:61 SHO:47 DEF:88 PHY:82 IQ:93 | Chelsea
5465. Rivaldo #8                          | ST  | 2006 | SPD:96 DRB:82 SHO:88 DEF:50 PHY:77 IQ:84 | Bayern Munich
5466. Mario Gomez #8                      | LB  | 2022 | SPD:75 DRB:74 SHO:59 DEF:96 PHY:88 IQ:93 | Juventus
5467. Gonzalo Higuaín #8                  | GK  | 2006 | SPD:70 DRB:34 SHO:25 DEF:98 PHY:80 IQ:96 | Manchester United
5468. Alfredo Di Stéfano #8               | CM  | 2006 | SPD:90 DRB:82 SHO:65 DEF:67 PHY:93 IQ:97 | Manchester United
5469. Sadio Mane #8                       | CAM | 2014 | SPD:89 DRB:89 SHO:73 DEF:68 PHY:97 IQ:98 | Manchester United
5470. Martin Benitez #8                   | ST  | 2014 | SPD:89 DRB:94 SHO:82 DEF:27 PHY:79 IQ:95 | Bayern Munich
5471. Rúben Dias #8                       | CAM | 2014 | SPD:80 DRB:87 SHO:75 DEF:71 PHY:84 IQ:95 | Napoli
5472. Mark Hughes #8                      | RB  | 2010 | SPD:85 DRB:60 SHO:48 DEF:89 PHY:81 IQ:78 | Juventus
5473. Hernandez Hugo #8                   | CAM | 2014 | SPD:90 DRB:87 SHO:80 DEF:80 PHY:79 IQ:81 | Paris SG
5474. Florian Neuhaus #8                  | CB  | 2010 | SPD:75 DRB:73 SHO:50 DEF:87 PHY:91 IQ:92 | Real Madrid
5475. Gigi Donnarumma #8                  | LB  | 2010 | SPD:87 DRB:66 SHO:70 DEF:93 PHY:81 IQ:84 | Chelsea
5476. Aymeric Laporte #8                  | CM  | 2014 | SPD:82 DRB:91 SHO:76 DEF:65 PHY:83 IQ:89 | Paris SG
5477. Mauro Camoranesi #8                 | CB  | 2006 | SPD:76 DRB:63 SHO:55 DEF:93 PHY:81 IQ:89 | Real Madrid
5478. Vilson Vilela #8                    | LW  | 2010 | SPD:90 DRB:76 SHO:89 DEF:37 PHY:75 IQ:83 | Arsenal
5479. Acuña Marcos #8                     | ST  | 2014 | SPD:94 DRB:85 SHO:82 DEF:44 PHY:85 IQ:82 | Manchester United
5480. Shay Given #8                       | CAM | 2010 | SPD:93 DRB:90 SHO:77 DEF:68 PHY:91 IQ:79 | Barcelona
5481. Mason Mount #8                      | LW  | 2010 | SPD:84 DRB:75 SHO:84 DEF:48 PHY:91 IQ:82 | Bayern Munich
5482. John Terry #8                       | LW  | 2022 | SPD:87 DRB:93 SHO:82 DEF:31 PHY:82 IQ:85 | Inter Milan
5483. Diego Forlan #8                     | CDM | 2006 | SPD:93 DRB:91 SHO:72 DEF:66 PHY:83 IQ:86 | Manchester United
5484. Macoumba Kandji #8                  | GK  | 2010 | SPD:76 DRB:47 SHO:42 DEF:94 PHY:83 IQ:97 | Real Madrid
5485. Wesley Sneijder #8                  | LB  | 2022 | SPD:77 DRB:79 SHO:66 DEF:85 PHY:96 IQ:91 | Chelsea
5486. Jay DeMerit #8                      | ST  | 2014 | SPD:86 DRB:78 SHO:96 DEF:58 PHY:83 IQ:93 | AC Milan
5487. David Trezeguet #8                  | LW  | 2006 | SPD:88 DRB:93 SHO:86 DEF:44 PHY:96 IQ:82 | Liverpool
5488. Samuel Umtiti #8                    | ST  | 2010 | SPD:96 DRB:86 SHO:87 DEF:53 PHY:86 IQ:79 | Inter Milan
5489. Wes Brown #8                        | ST  | 2014 | SPD:93 DRB:83 SHO:85 DEF:52 PHY:80 IQ:90 | Barcelona
5490. Blaise Matuidi #8                   | CDM | 2006 | SPD:93 DRB:83 SHO:78 DEF:61 PHY:87 IQ:88 | Inter Milan
5491. Isco Alarcon #8                     | RB  | 2022 | SPD:84 DRB:74 SHO:45 DEF:87 PHY:84 IQ:82 | Liverpool
5492. Manuel Neuer #8                     | LW  | 2006 | SPD:90 DRB:90 SHO:93 DEF:31 PHY:92 IQ:88 | Arsenal
5493. Jesus Navas #8                      | ST  | 2018 | SPD:85 DRB:92 SHO:94 DEF:32 PHY:92 IQ:80 | Bayern Munich
5494. Franck Ribéry #8                    | CM  | 2006 | SPD:89 DRB:88 SHO:75 DEF:79 PHY:90 IQ:84 | Napoli
5495. Raúl González #8                    | CM  | 2018 | SPD:81 DRB:71 SHO:71 DEF:63 PHY:90 IQ:82 | Paris SG
5496. Ferran Torres #8                    | RB  | 2018 | SPD:76 DRB:64 SHO:62 DEF:99 PHY:91 IQ:85 | Juventus
5497. William Carvalho #8                 | ST  | 2022 | SPD:93 DRB:89 SHO:83 DEF:49 PHY:94 IQ:89 | Manchester United
5498. Enzo Fernandez #8                   | LB  | 2022 | SPD:76 DRB:69 SHO:66 DEF:87 PHY:84 IQ:93 | Real Madrid
5499. Roger Milla #8                      | CB  | 2014 | SPD:76 DRB:75 SHO:57 DEF:93 PHY:97 IQ:88 | Juventus
5500. Giancarlo Antognoni #8              | CM  | 2014 | SPD:90 DRB:76 SHO:79 DEF:64 PHY:82 IQ:96 | AC Milan
5501. Marko Milic #8                      | LW  | 2006 | SPD:89 DRB:75 SHO:91 DEF:46 PHY:86 IQ:84 | Arsenal
5502. Patrick Vieira #8                   | CDM | 2022 | SPD:91 DRB:90 SHO:65 DEF:82 PHY:78 IQ:86 | Juventus
5503. William Gallas #8                   | CDM | 2006 | SPD:92 DRB:91 SHO:83 DEF:70 PHY:96 IQ:81 | Paris SG
5504. Dayot Upamecano #8                  | CM  | 2006 | SPD:81 DRB:81 SHO:88 DEF:81 PHY:97 IQ:91 | Arsenal
5505. Lucas Hernández #8                  | GK  | 2022 | SPD:77 DRB:45 SHO:35 DEF:94 PHY:75 IQ:88 | Manchester United
5506. Oscar #8                            | GK  | 2010 | SPD:81 DRB:32 SHO:33 DEF:98 PHY:91 IQ:93 | Chelsea
5507. Vincent Kompany #8                  | LW  | 2006 | SPD:96 DRB:75 SHO:82 DEF:38 PHY:92 IQ:97 | Napoli
5508. Djibril Cissé #8                    | CAM | 2014 | SPD:94 DRB:83 SHO:73 DEF:79 PHY:94 IQ:84 | Chelsea
5509. Diego Forlán #8                     | CB  | 2018 | SPD:76 DRB:69 SHO:69 DEF:90 PHY:84 IQ:92 | Liverpool
5510. Sergio Batista #8                   | CAM | 2014 | SPD:83 DRB:70 SHO:76 DEF:68 PHY:76 IQ:96 | Chelsea
5511. Andrea Pirlo #8                     | CB  | 2006 | SPD:79 DRB:77 SHO:59 DEF:91 PHY:90 IQ:80 | Barcelona
5512. Pepe #8                             | CM  | 2014 | SPD:86 DRB:82 SHO:78 DEF:81 PHY:85 IQ:79 | Liverpool
5513. Dedryck Boyata #8                   | CAM | 2018 | SPD:86 DRB:80 SHO:86 DEF:64 PHY:81 IQ:88 | Liverpool
5514. Giorgio Chiellini #8                | LB  | 2018 | SPD:75 DRB:80 SHO:69 DEF:94 PHY:91 IQ:97 | Napoli
5515. Victor Valdés #8                    | CDM | 2010 | SPD:89 DRB:84 SHO:73 DEF:72 PHY:87 IQ:81 | Real Madrid
5516. Ronaldo Nazário #8                  | CB  | 2014 | SPD:90 DRB:60 SHO:58 DEF:88 PHY:84 IQ:90 | Bayern Munich
5517. Steve Mandanda #8                   | CAM | 2018 | SPD:80 DRB:81 SHO:76 DEF:81 PHY:89 IQ:96 | Napoli
5518. Karl-Heinz Rummenigge #8            | ST  | 2010 | SPD:93 DRB:85 SHO:86 DEF:55 PHY:90 IQ:79 | Paris SG
5519. Kevin Keegan #8                     | CM  | 2010 | SPD:87 DRB:87 SHO:77 DEF:70 PHY:86 IQ:97 | Chelsea
5520. Naohiro Takahara #8                 | CM  | 2014 | SPD:79 DRB:74 SHO:83 DEF:77 PHY:77 IQ:83 | Chelsea
5521. Domingos Duarte #8                  | ST  | 2010 | SPD:91 DRB:84 SHO:93 DEF:57 PHY:78 IQ:86 | Bayern Munich
5522. Pau Torres #8                       | CB  | 2018 | SPD:86 DRB:65 SHO:48 DEF:95 PHY:76 IQ:83 | AC Milan
5523. Garrincha #8                        | ST  | 2010 | SPD:94 DRB:85 SHO:83 DEF:58 PHY:82 IQ:92 | Barcelona
5524. David Luiz #8                       | CM  | 2006 | SPD:79 DRB:84 SHO:73 DEF:84 PHY:81 IQ:89 | Arsenal
5525. Francesco Totti #8                  | GK  | 2022 | SPD:73 DRB:43 SHO:38 DEF:89 PHY:92 IQ:94 | Inter Milan
5526. Jerome Boateng #8                   | GK  | 2022 | SPD:81 DRB:50 SHO:30 DEF:90 PHY:89 IQ:78 | Napoli
5527. Ederson Moraes #8                   | LW  | 2014 | SPD:83 DRB:82 SHO:84 DEF:39 PHY:98 IQ:87 | Chelsea
5528. Fabrice Barthez #8                  | ST  | 2014 | SPD:90 DRB:95 SHO:89 DEF:50 PHY:94 IQ:97 | Arsenal
5529. Sergio Ramos #8                     | RB  | 2018 | SPD:83 DRB:72 SHO:52 DEF:92 PHY:97 IQ:98 | AC Milan
5530. Hatem Ben Arfa #8                   | RB  | 2010 | SPD:87 DRB:63 SHO:62 DEF:89 PHY:97 IQ:96 | Napoli
5531. Roberto Ayala #8                    | CDM | 2018 | SPD:78 DRB:92 SHO:69 DEF:80 PHY:76 IQ:98 | Barcelona
5532. Lionel Messi #8                     | CAM | 2022 | SPD:81 DRB:75 SHO:86 DEF:85 PHY:79 IQ:94 | Juventus
5533. Damiano Doni #8                     | LB  | 2022 | SPD:83 DRB:72 SHO:59 DEF:93 PHY:97 IQ:98 | Arsenal
5534. Emiliano Martínez #8                | ST  | 2006 | SPD:86 DRB:75 SHO:95 DEF:40 PHY:90 IQ:84 | Bayern Munich
5535. Robinho #8                          | CAM | 2022 | SPD:86 DRB:78 SHO:74 DEF:72 PHY:83 IQ:78 | Inter Milan
5536. Rio Ferdinand #8                    | CB  | 2010 | SPD:81 DRB:80 SHO:66 DEF:92 PHY:97 IQ:81 | Bayern Munich
5537. Ahmed Hassan #8                     | RB  | 2010 | SPD:77 DRB:64 SHO:60 DEF:88 PHY:89 IQ:95 | AC Milan
5538. Stan Collymore #8                   | GK  | 2014 | SPD:70 DRB:47 SHO:23 DEF:94 PHY:83 IQ:92 | AC Milan
5539. Gabriel Jesus #8                    | CAM | 2006 | SPD:89 DRB:74 SHO:76 DEF:79 PHY:88 IQ:80 | AC Milan
5540. Stephan Henchoz #8                  | ST  | 2014 | SPD:88 DRB:85 SHO:82 DEF:30 PHY:87 IQ:89 | Juventus
5541. Phil Neville #8                     | RB  | 2010 | SPD:80 DRB:70 SHO:48 DEF:99 PHY:88 IQ:93 | Liverpool
5542. Xavi Hernandez #8                   | LB  | 2014 | SPD:76 DRB:66 SHO:55 DEF:98 PHY:84 IQ:84 | Napoli
5543. Eusebio #8                          | RB  | 2006 | SPD:77 DRB:75 SHO:66 DEF:99 PHY:88 IQ:86 | Liverpool
5544. João Félix #8                       | CB  | 2006 | SPD:90 DRB:66 SHO:53 DEF:95 PHY:83 IQ:90 | Arsenal
5545. Joao Cancelo #8                     | LB  | 2018 | SPD:87 DRB:71 SHO:68 DEF:85 PHY:90 IQ:79 | Juventus
5546. Rui Costa #8                        | ST  | 2010 | SPD:96 DRB:76 SHO:95 DEF:46 PHY:90 IQ:88 | Chelsea
5547. Barry Davies #8                     | CDM | 2014 | SPD:93 DRB:75 SHO:84 DEF:79 PHY:86 IQ:87 | Manchester United
5548. Trent Alexander-Arnold #8           | LB  | 2010 | SPD:79 DRB:66 SHO:67 DEF:92 PHY:79 IQ:82 | Liverpool
5549. Roy Keane #8                        | ST  | 2018 | SPD:88 DRB:93 SHO:87 DEF:56 PHY:85 IQ:92 | Liverpool
5550. Eric Cantona #8                     | CAM | 2022 | SPD:91 DRB:87 SHO:71 DEF:76 PHY:77 IQ:97 | Liverpool
5551. Fernando Torres #8                  | LB  | 2006 | SPD:90 DRB:74 SHO:59 DEF:96 PHY:91 IQ:92 | Barcelona
5552. Aurelien Tchouameni #8              | LB  | 2014 | SPD:86 DRB:74 SHO:48 DEF:89 PHY:80 IQ:92 | Arsenal
5553. Dennis Bergkamp #8                  | CDM | 2018 | SPD:87 DRB:85 SHO:65 DEF:83 PHY:82 IQ:86 | Arsenal
5554. Sergio Agüero #8                    | LW  | 2022 | SPD:85 DRB:81 SHO:91 DEF:49 PHY:97 IQ:96 | Inter Milan
5555. Ruben Dias #8                       | CDM | 2014 | SPD:79 DRB:90 SHO:77 DEF:66 PHY:76 IQ:88 | Arsenal
5556. Giacinto Facchetti #8               | ST  | 2022 | SPD:91 DRB:84 SHO:94 DEF:26 PHY:83 IQ:80 | Juventus
5557. Philippe Coutinho #8                | CAM | 2006 | SPD:84 DRB:73 SHO:74 DEF:61 PHY:75 IQ:96 | Manchester United
5558. Michu #8                            | CAM | 2014 | SPD:91 DRB:87 SHO:86 DEF:65 PHY:93 IQ:78 | Real Madrid
5559. Ray Clemence #8                     | GK  | 2018 | SPD:74 DRB:51 SHO:35 DEF:96 PHY:75 IQ:88 | Liverpool
5560. Ronaldinho Gaúcho #8                | RB  | 2010 | SPD:79 DRB:69 SHO:69 DEF:98 PHY:85 IQ:88 | Bayern Munich
5561. Nicolás Otamendi #8                 | CM  | 2014 | SPD:79 DRB:86 SHO:80 DEF:74 PHY:77 IQ:92 | Real Madrid
5562. Felix Götze #8                      | LW  | 2018 | SPD:89 DRB:83 SHO:84 DEF:33 PHY:95 IQ:90 | Chelsea
5563. Leroy Sané #8                       | ST  | 2010 | SPD:87 DRB:89 SHO:90 DEF:27 PHY:86 IQ:78 | Juventus
5564. Robbie Keane #8                     | CM  | 2010 | SPD:93 DRB:89 SHO:83 DEF:78 PHY:86 IQ:93 | Paris SG
5565. Aleksandar Kolarov #8               | CB  | 2014 | SPD:83 DRB:68 SHO:49 DEF:87 PHY:93 IQ:89 | Liverpool
5566. Thiago Silva #8                     | CB  | 2018 | SPD:81 DRB:74 SHO:61 DEF:99 PHY:86 IQ:98 | Paris SG
5567. Xavi Hernández #8                   | LW  | 2010 | SPD:90 DRB:83 SHO:90 DEF:58 PHY:92 IQ:83 | Juventus
5568. Bastian Schweinsteiger #8           | ST  | 2006 | SPD:83 DRB:88 SHO:90 DEF:29 PHY:78 IQ:84 | Chelsea
5569. Juan Riquelme #8                    | CAM | 2018 | SPD:89 DRB:92 SHO:75 DEF:78 PHY:77 IQ:86 | Real Madrid
5570. Youri Djorkaeff #8                  | LB  | 2014 | SPD:90 DRB:76 SHO:66 DEF:99 PHY:94 IQ:95 | Napoli
5571. Essam El-Hadary #8                  | ST  | 2010 | SPD:96 DRB:94 SHO:97 DEF:43 PHY:76 IQ:92 | Paris SG
5572. Alan Hansen #8                      | CM  | 2022 | SPD:83 DRB:83 SHO:67 DEF:66 PHY:88 IQ:86 | Liverpool
5573. Holger Badstuber #8                 | LW  | 2022 | SPD:85 DRB:89 SHO:95 DEF:35 PHY:81 IQ:86 | Real Madrid
5574. Cafu #8                             | GK  | 2022 | SPD:70 DRB:42 SHO:43 DEF:98 PHY:90 IQ:84 | Barcelona
5575. Carlos Tévez #8                     | ST  | 2006 | SPD:94 DRB:88 SHO:89 DEF:34 PHY:81 IQ:79 | Inter Milan
5576. Nélson Semedo #8                    | LW  | 2010 | SPD:96 DRB:83 SHO:83 DEF:39 PHY:98 IQ:82 | Paris SG
5577. Jérôme Boateng #8                   | ST  | 2022 | SPD:82 DRB:76 SHO:87 DEF:38 PHY:98 IQ:92 | Napoli
5578. Luka Modrić #8                      | GK  | 2010 | SPD:82 DRB:51 SHO:28 DEF:98 PHY:87 IQ:96 | Liverpool
5579. Leon Goretzka #8                    | CB  | 2018 | SPD:89 DRB:71 SHO:51 DEF:94 PHY:81 IQ:98 | Napoli
5580. Robert Pires #8                     | CDM | 2010 | SPD:79 DRB:75 SHO:72 DEF:85 PHY:83 IQ:88 | Chelsea
5581. Philipp Lahm #8                     | CDM | 2018 | SPD:87 DRB:71 SHO:75 DEF:65 PHY:87 IQ:94 | AC Milan
5582. David de Gea #8                     | ST  | 2022 | SPD:82 DRB:88 SHO:93 DEF:50 PHY:84 IQ:92 | Manchester United
5583. Youri Tielemans #8                  | LB  | 2018 | SPD:79 DRB:68 SHO:48 DEF:87 PHY:89 IQ:95 | Bayern Munich
5584. Sepp Maier #8                       | CDM | 2014 | SPD:83 DRB:73 SHO:79 DEF:67 PHY:76 IQ:94 | Inter Milan
5585. Julian Alvarez #8                   | CAM | 2014 | SPD:94 DRB:92 SHO:81 DEF:81 PHY:88 IQ:89 | Juventus
5586. Gonzalo Montiel #8                  | RB  | 2014 | SPD:88 DRB:76 SHO:51 DEF:89 PHY:97 IQ:85 | Chelsea
5587. Sandro Mazzola #8                   | RB  | 2018 | SPD:84 DRB:65 SHO:70 DEF:93 PHY:84 IQ:87 | Liverpool
5588. Özil Mesut #8                       | CAM | 2018 | SPD:84 DRB:91 SHO:80 DEF:79 PHY:77 IQ:82 | Bayern Munich
5589. Álvaro Morata #8                    | ST  | 2006 | SPD:90 DRB:88 SHO:91 DEF:33 PHY:81 IQ:94 | Juventus
5590. David Silva #8                      | LW  | 2022 | SPD:84 DRB:91 SHO:91 DEF:58 PHY:83 IQ:96 | Barcelona
5591. Gökhan Inler #8                     | CM  | 2006 | SPD:78 DRB:81 SHO:82 DEF:70 PHY:77 IQ:84 | AC Milan
5592. Alphonso Davies #8                  | CDM | 2006 | SPD:80 DRB:85 SHO:67 DEF:75 PHY:93 IQ:91 | Arsenal
5593. Luis Fernando Muriel #8             | CM  | 2022 | SPD:88 DRB:71 SHO:72 DEF:74 PHY:89 IQ:97 | Real Madrid
5594. Aurélien Tchouaméni #8              | CM  | 2018 | SPD:89 DRB:78 SHO:69 DEF:68 PHY:95 IQ:81 | Bayern Munich
5595. Petr Čech #8                        | CB  | 2014 | SPD:87 DRB:65 SHO:62 DEF:89 PHY:80 IQ:90 | AC Milan
5596. Shinji Ono #8                       | LB  | 2006 | SPD:87 DRB:70 SHO:47 DEF:98 PHY:76 IQ:78 | Real Madrid
5597. Alexis Sanchez #8                   | LW  | 2018 | SPD:96 DRB:75 SHO:86 DEF:54 PHY:75 IQ:96 | Barcelona
5598. Yuri Zhirkov #8                     | ST  | 2018 | SPD:85 DRB:91 SHO:92 DEF:45 PHY:97 IQ:92 | AC Milan
5599. Hennes Weisweiler #8                | GK  | 2006 | SPD:71 DRB:41 SHO:27 DEF:98 PHY:91 IQ:84 | Barcelona
5600. Gilberto Silva #8                   | CAM | 2022 | SPD:94 DRB:87 SHO:68 DEF:77 PHY:92 IQ:92 | Liverpool
5601. Berti Vogts #8                      | LB  | 2022 | SPD:87 DRB:61 SHO:51 DEF:99 PHY:84 IQ:81 | Bayern Munich
5602. Petr Cech #8                        | GK  | 2010 | SPD:77 DRB:48 SHO:36 DEF:93 PHY:92 IQ:91 | Arsenal
5603. Douglas Costa #8                    | CM  | 2006 | SPD:83 DRB:77 SHO:72 DEF:62 PHY:80 IQ:86 | Manchester United
5604. Marcelo #8                          | CAM | 2022 | SPD:88 DRB:92 SHO:78 DEF:79 PHY:79 IQ:86 | Bayern Munich
5605. Rojas Marcos #8                     | LB  | 2018 | SPD:75 DRB:66 SHO:59 DEF:93 PHY:78 IQ:84 | Liverpool
5606. Lucio #8                            | CB  | 2018 | SPD:82 DRB:60 SHO:46 DEF:90 PHY:95 IQ:93 | Bayern Munich
5607. Silvain Wiltord #8                  | ST  | 2014 | SPD:95 DRB:78 SHO:89 DEF:37 PHY:86 IQ:85 | Paris SG
5608. Frank Rijkaard #8                   | CAM | 2018 | SPD:79 DRB:83 SHO:86 DEF:70 PHY:76 IQ:87 | Liverpool
5609. Casemiro #8                         | RB  | 2014 | SPD:86 DRB:75 SHO:60 DEF:98 PHY:84 IQ:79 | Napoli
5610. Edinson Cavani #8                   | GK  | 2010 | SPD:77 DRB:36 SHO:30 DEF:88 PHY:92 IQ:81 | Arsenal
5611. Kostas Katsouranis #8               | LW  | 2022 | SPD:83 DRB:91 SHO:84 DEF:37 PHY:77 IQ:95 | AC Milan
5612. Deco #8                             | LW  | 2014 | SPD:92 DRB:91 SHO:82 DEF:56 PHY:85 IQ:92 | Barcelona
5613. Ilkay Gundogan #8                   | CAM | 2006 | SPD:85 DRB:88 SHO:72 DEF:70 PHY:87 IQ:93 | Paris SG
5614. Roberto Rivelino #8                 | ST  | 2018 | SPD:87 DRB:84 SHO:93 DEF:52 PHY:95 IQ:98 | Chelsea
5615. Paolo Maldini #8                    | ST  | 2010 | SPD:82 DRB:88 SHO:93 DEF:29 PHY:82 IQ:97 | Inter Milan
5616. Ézequiel Garay #8                   | ST  | 2018 | SPD:90 DRB:93 SHO:93 DEF:51 PHY:76 IQ:79 | Napoli
5617. Virgil van Dijk #8                  | CM  | 2018 | SPD:88 DRB:79 SHO:76 DEF:70 PHY:84 IQ:87 | Manchester United
5618. Bernardo Silva #8                   | CM  | 2010 | SPD:81 DRB:75 SHO:69 DEF:75 PHY:91 IQ:86 | Arsenal
5619. Liliam Thuram #8                    | CM  | 2022 | SPD:78 DRB:88 SHO:69 DEF:83 PHY:96 IQ:79 | Bayern Munich
5620. James Milner #8                     | LB  | 2014 | SPD:86 DRB:63 SHO:50 DEF:95 PHY:79 IQ:97 | Inter Milan
5621. Roman Shirokov #8                   | RB  | 2014 | SPD:76 DRB:75 SHO:65 DEF:96 PHY:98 IQ:96 | Chelsea
5622. Oleg Blokhin #8                     | ST  | 2022 | SPD:88 DRB:91 SHO:82 DEF:48 PHY:77 IQ:92 | Paris SG
5623. Arne Friedrich #8                   | CB  | 2010 | SPD:88 DRB:67 SHO:52 DEF:89 PHY:90 IQ:98 | Barcelona
5624. Iker Casillas #8                    | ST  | 2014 | SPD:90 DRB:79 SHO:92 DEF:51 PHY:77 IQ:79 | Inter Milan
5625. Joan Capdevila #8                   | CDM | 2014 | SPD:92 DRB:88 SHO:65 DEF:82 PHY:94 IQ:91 | Arsenal
